text,drug,effect
We report a fatal case of acute interstitial pneumonitis in a patient treated with carmustine (BCNU) for a brain tumor.,BCNU,fatal case of acute interstitial pneumonitis
We report a fatal case of acute interstitial pneumonitis in a patient treated with carmustine (BCNU) for a brain tumor.,carmustine,fatal case of acute interstitial pneumonitis
A 78-year-old man with a transvenous cardioverter defibrillator system developed frequent shocks during oral procainamide therapy.,procainamide,shocks
Electrical proarrhythmia with procainamide: a new ICD-drug interaction.,procainamide,Electrical proarrhythmia
"The failure of therapy with disopyramide and mexiletine to reproduce this observation suggests either a previously unreported electrophysiologic effect of, or idiosyncratic response to, procainamide.",procainamide,electrophysiologic effect
"Based on our experience and on previously published data, serum ammonia levels appear to be indicated in all ED patients on valproic acid therapy who present with altered mental status.",valproic acid,altered mental status
Hyperammonemia has been described as a complication of valproic acid therapy but may often be overlooked as a cause of lethargy in the postictal patient who presents to the emergency department.,valproic acid,Hyperammonemia
Hyperammonemia has been described as a complication of valproic acid therapy but may often be overlooked as a cause of lethargy in the postictal patient who presents to the emergency department.,valproic acid,lethargy
Hyperammonemia secondary to valproic acid as a cause of lethargy in a postictal patient.,valproic acid,Hyperammonemia
Hyperammonemia secondary to valproic acid as a cause of lethargy in a postictal patient.,valproic acid,lethargy
"We present the case of a postictal patient with lethargy, hyperammonemia, otherwise normal liver function tests, and a therapeutic valproic acid level.",valproic acid,hyperammonemia
"We present the case of a postictal patient with lethargy, hyperammonemia, otherwise normal liver function tests, and a therapeutic valproic acid level.",valproic acid,lethargy
Central nervous system toxicity associated with meperidine use in hepatic disease.,meperidine,Central nervous system toxicity
"In patients with cirrhosis, the metabolism of meperidine is decreased, leading to accumulation of the parent drug and possible CNS depressive effects similar to hepatic encephalopathy.",meperidine,accumulation of the parent drug
"In patients with cirrhosis, the metabolism of meperidine is decreased, leading to accumulation of the parent drug and possible CNS depressive effects similar to hepatic encephalopathy.",meperidine,CNS depressive effects
Meperidine-associated central nervous system (CNS) excitatory toxicities are believed to be caused by accumulation of the active metabolite normeperidine.,Meperidine,accumulation of the active metabolite normeperidine
Meperidine-associated central nervous system (CNS) excitatory toxicities are believed to be caused by accumulation of the active metabolite normeperidine.,Meperidine,central nervous system (CNS) excitatory toxicities
"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.",morphine,hypertension
"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.",morphine,intracerebral hemorrhage
"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.",morphine,respiratory failure
"She received an accidental 450-mg bolus injection of morphine intrathecally and developed hypertension, status epilepticus, intracerebral hemorrhage, and respiratory failure.",morphine,status epilepticus
Mitomycin C (MMC) is an alkylating agent that has been recently associated with the hemolytic-uremic syndrome (HUS).,Mitomycin C,hemolytic-uremic syndrome
Mitomycin C (MMC) is an alkylating agent that has been recently associated with the hemolytic-uremic syndrome (HUS).,MMC,hemolytic-uremic syndrome
Mitomycin C (MMC) is an alkylating agent that has been recently associated with the hemolytic-uremic syndrome (HUS).,Mitomycin C,HUS
Mitomycin C (MMC) is an alkylating agent that has been recently associated with the hemolytic-uremic syndrome (HUS).,MMC,HUS
Pulmonary hemorrhage as a clinical manifestation of hemolytic-uremic syndrome associated with mitomycin C therapy.,mitomycin C,hemolytic-uremic syndrome
Pulmonary hemorrhage as a clinical manifestation of hemolytic-uremic syndrome associated with mitomycin C therapy.,mitomycin C,Pulmonary hemorrhage
"Pulmonary hemorrhage is an uncommon feature in the HUS, and seems to appear especially in the HUS associated with MMC therapy.",MMC,HUS
"Pulmonary hemorrhage is an uncommon feature in the HUS, and seems to appear especially in the HUS associated with MMC therapy.",MMC,HUS
"Pulmonary hemorrhage is an uncommon feature in the HUS, and seems to appear especially in the HUS associated with MMC therapy.",MMC,Pulmonary hemorrhage
We describe two women who developed HUS after MMC therapy and presented massive pulmonary bleeding.,MMC,HUS
We describe two women who developed HUS after MMC therapy and presented massive pulmonary bleeding.,MMC,massive pulmonary bleeding
Clonidine-induced bradycardia in patients with spinal cord injury.,Clonidine,bradycardia
"Possible mechanisms by which clonidine decreases spasticity are described, probable mechanisms of induced bradycardia are reviewed, and specific treatment recommendations for the use of clonidine in spinal cord injured patients are presented.",clonidine,bradycardia
"Possible mechanisms by which clonidine decreases spasticity are described, probable mechanisms of induced bradycardia are reviewed, and specific treatment recommendations for the use of clonidine in spinal cord injured patients are presented.",clonidine,bradycardia
"Though hypotension, dry mouth, and constipation are well-documented possible adverse effects, the possibility of clonidine-induced bradycardia is less well recognized and is rare.",clonidine,bradycardia
"Though hypotension, dry mouth, and constipation are well-documented possible adverse effects, the possibility of clonidine-induced bradycardia is less well recognized and is rare.",clonidine,constipation
"Though hypotension, dry mouth, and constipation are well-documented possible adverse effects, the possibility of clonidine-induced bradycardia is less well recognized and is rare.",clonidine,dry mouth
"Though hypotension, dry mouth, and constipation are well-documented possible adverse effects, the possibility of clonidine-induced bradycardia is less well recognized and is rare.",clonidine,hypotension
"A high dose of cotrimoxazole induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary N-acetyl glucosaminase after several days of the drug administration in these patients; one patient became unconscious.",cotrimoxazole,elevation of serum creatinine and blood urea
"A high dose of cotrimoxazole induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary N-acetyl glucosaminase after several days of the drug administration in these patients; one patient became unconscious.",cotrimoxazole,hyperkalaemia
"A high dose of cotrimoxazole induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary N-acetyl glucosaminase after several days of the drug administration in these patients; one patient became unconscious.",cotrimoxazole,increased urinary N-acetyl glucosaminase
"A high dose of cotrimoxazole induced hyperkalaemia with the elevation of serum creatinine and blood urea, and increased urinary N-acetyl glucosaminase after several days of the drug administration in these patients; one patient became unconscious.",cotrimoxazole,one patient became unconscious
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.",co-trimoxazole,Hyperkalaemia
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.",sulfamethoxazole-trimethoprim,Hyperkalaemia
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.",co-trimoxazole,renal tubular dysfunction
"Hyperkalaemia with renal tubular dysfunction by oral therapy of sulfamethoxazole-trimethoprim (co-trimoxazole) is described in 2 elderly Japanese patients with lymphoid malignancy, who developed Pneumocystis carinii pneumonia and improved.",sulfamethoxazole-trimethoprim,renal tubular dysfunction
