"damage_class","narr_cause"
"Substantial","The student pilot's failure to maintain adequate altitude during the landing approach and the private pilot's inadequate supervision, which resulted in a collision with a marked utility pole.  A factor in this accident was the student pilot's lack of experience."
"Substantial","The pilot's failure to adequately compensate for wind conditions and his failure to maintain directional control.  Factors include rough uneven terrain."
"Substantial","loss of engine power for undetermined reasons."
"Substantial","The pilot's failure to maintain clearance from ground obstructions while taxiing.  A factor contributing to the accident was excessive taxi speed."
"Substantial","The loss of engine power for undetermined reasons.  Factors were the low altitude, the trees, and the unsuitable terrain encountered for the forced landing."
"Substantial","The pilot's inadvertent wheels-up landing.  Factors contributing to the accident were the pilot's failure to complete the prelanding checklist, his diverted attention, and a delayed gear warning horn alarm."
"Substantial","The certified flight instructors failure to feather the propeller in accordance with operating procedures that resulted in loss of altitude and the in-flight collision with terrain."
"Substantial","The pilot's failure to maintain clearance from an object while maneuvering.  A tree(s) was a factor."
"Substantial","The pilot's failure to maintain directional control of the airplane, and his excessive use of the airplane's brakes during the landing roll, which resulted in the airplane nosing down.  A contributing factor in the accident was wet, high grass along the runway edge."
"Substantial","The failure of the solo student to maintain directional control of the airplane during the takeoff roll/run which resulted in the airplane veering off the runway and impacting trees, incurring substantial damage."
"Substantial","The pilot's improper decision to continue a takeoff once it had become apparent that it was questionable whether the aircraft would clear an obstacle at the departure end of the takeoff area. Factors include the pilot's failure to perform pre-takeoff performance calculations, a high density altitude, and a ditch berm at the end of the area the pilot was using for the attempted takeoff."
"Substantial","The student pilot's improper recovery from bounced landing which resulted in substantial damage to the airplane."
"Substantial","The pilot's failure to maintain clearance from the transmission wires.  Additional factors were the transmission wires and the sunglare."
"Substantial","The pilot's miscalculation of fuel consumption and his operation of the fuel system beyond its limitation, which resulted in fuel exhaustion.  Contributing factors were transmission wires and dark night conditions."
